Date;Latitude;Longitude;Total Accumulation
27.07.2011;345.833;-1.515.167;1.0
13.08.2012;397.213;-1.475.733;1.0
23.08.2012;330.571;-1.538.981;1.0
24.08.2012;343.983;-1.466.683;1.0
08.02.2010;36.55;-1.489.833;1.0
08.09.2012;318.833;-1.567.667;1.0
08.09.2009;36.27;-1.485.395;1.0
08.06.2011;35.775;-149.31;1.0
24.07.2009;361.167;-1.470.333;1.0
24.08.2012;34.765;-1.463.617;1.0
14.08.2012;385.667;-1.421.833;1.0
21.05.2009;308.333;-146.9;1.0
22.08.2012;319.917;-1.489.783;1.0
30.07.2011;36.1;-142.9;1.0
27.07.2011;32.4;-1.509.667;1.0
22.08.2012;31.49;-1.492.467;1.0
08.09.2012;320.333;-1.543.833;1.0
23.05.2009;36.25;-1.429.333;1.0
28.07.2010;29. Mai;-1.553.667;1.0
23.08.2012;332.733;-147.61;1.0
21.08.2012;309.017;-150.44;1.0
26.06.2012;302.856;-1.761.427;1.0
23.08.2012;329.783;-154.145;1.0
21.08.2012;306.667;-150.885;1.0
08.09.2010;36.1;-1.517.833;1.0
28.08.2009;361.333;-142.15;1.0
30.07.2011;365.049;-155.274;1.0
13.08.2012;367.833;-1.448.167;1.0
23.08.2012;328.967;-1.480.717;1.0
08.11.2012;342.513;-149.004;1.0
08.10.2012;33.05;-1.515.667;1.0
08.12.2012;356.333;-1.468.333;1.0
