X,Y,Debris Levels,Date
-150.9166667,35.75,1,06/08/2012
-148.6166667,38.45,1,07/08/2012
-153.85,30.13333333,1,07/08/2012
-127.3333333,40.1,1,07/08/2012
-156.3833333,30.06666667,1,07/08/2012
-147.0666667,40.28333333,1,07/08/2012
-155.9833333,31.76666667,1,07/08/2012
-150.1833333,37.53333333,1,07/08/2012
-147.0333333,40.1,1,08/08/2012
-155.9833333,31.96666667,1,08/08/2012
-147.5833333,40.9,1,08/08/2012
-155.8,32.98333333,1,08/08/2012
-149.3666667,39.45,1,08/08/2012
-148.85,38.23333333,1,09/08/2012
-140.2,45.46666667,1,09/08/2012
-144.2333333,42.86666667,1,09/08/2012
-155.4166667,33.45,1,09/08/2012
-155.7166667,33.78333333,1,09/08/2012
-148.8666667,40.03333333,1,10/08/2012
-155.3166667,34.66666667,1,10/08/2012
-155.75,35.01666667,1,10/08/2012
-149.6666667,40.81666667,1,11/08/2012
-153.35,35.93333333,1,11/08/2012
-155.85,36.51666667,1,11/08/2012
-142.3166667,44.23333333,1,11/08/2012
-145.6166667,42.78333333,1,12/08/2012
-152.9,38,1,12/08/2012
-141.45,42.71666667,1,12/08/2012
-141.5833333,43.78333333,1,13/08/2012
-150.1666667,39.33333333,1,13/08/2012
-149,41,1,14/08/2012
-143.85,44.26666667,1,16/08/2012
-145.55,43.23333333,1,16/08/2012
-143.05,43.63333333,1,17/08/2012
-151.8333333,34.95,2,04/08/2012
-151.9,34.31666667,2,04/08/2012
-151.3333333,36.36666667,2,05/08/2012
-153.2833333,34.36666667,2,07/08/2012
-149.3,39.4,2,07/08/2012
-152.6666667,33.86666667,2,07/08/2012
-151.3833333,36.43333333,2,08/08/2012
-142.6166667,43,2,08/08/2012
-152.7166667,32.58333333,2,08/08/2012
-146.0666667,41.86666667,2,08/08/2012
-151.1666667,35.55,2,08/08/2012
-151.8,35.13333333,2,09/08/2012
-146.8166667,41.28333333,2,09/08/2012
-149.45,37.28333333,2,09/08/2012
-150.7,27.78333333,2,10/08/2012
-144.4,42.73333333,2,10/08/2012
-147.4166667,39.2,2,10/08/2012
-150.05,36.85,2,12/08/2012
-135.6666667,46.91666667,2,12/08/2012
-148.1166667,38.06666667,2,13/08/2012
-146.4333333,42.71666667,2,15/08/2012
-147.3833333,42.31666667,2,15/08/2012
-154.0333333,32.05,3,06/08/2012
-144.9166667,41.05,3,11/08/2012
-148.6333333,40.88333333,3,14/08/2012
-158.0152,31.6442,0,08/02/2010
-128.1462,36.6393,0,08/05/2011
-141.9933,38.0007,0,08/02/2011
-151.7167,46.65,0,08/02/2011
-150.9315,36.3092,0,08/05/2011
-130.1333,38.5833,0,08/02/2011
-134.1,38.85,0,08/01/2011
-142.85,39.2167,0,30/07/2011
-147.3167,39.3333,0,29/07/2011
-148.8833,37.25,0,28/07/2011
-135.8333,37.3167,0,08/07/2010
-138.7667,36.9,0,08/06/2010
-141.3,36.75,0,08/05/2010
-124.5,35.7667,0,08/06/2011
-148.85,32.2667,0,08/01/2010
-156.8833,23.25,0,27/07/2010
-134.7667,38.3167,0,08/07/2010
-146.9333,36.25,0,08/02/2010
-143.2167,41.9833,0,08/10/2010
-157.0833,27.1167,0,31/07/2010
-157.9833,23.25,0,29/07/2010
-144.6333,37.7667,0,08/02/2010
-158.7833,44.1433,0,08/10/2010
-141.4937,35.593,0,13/08/2010
-147.2349,34.9017,0,08/10/2010
-155.53,33.885,0,08/05/2010
-159.4667,24.6667,0,20/08/2009
-155.1833,24.5333,0,28/07/2010
-156.1667,24.3667,0,24/07/2011
-157.9667,24.5333,0,24/07/2011
-148.1167,31.4,0,08/04/2011
-136.4333,33.1667,0,08/10/2011
-119.8,34.1667,0,16/08/2011
-144.7667,33.4167,0,08/08/2011
-154.3,27.4833,0,25/07/2011
-157.0833,30.4,0,08/08/2012
-157.7995,21.9037,0,08/02/2012
-154.1667,26.6333,0,08/02/2011
-132.3,31.5667,0,13/08/2011
-155.5,25.5333,0,08/01/2011
-127.8667,31.5167,0,14/08/2011
-158.6667,22.8333,0,30/07/2011
-157.4276,24.9106,0,08/06/2012
-158.0833,22.1333,0,30/07/2011
-155.9993,19.8962,0,25/11/2007
-155.7185,18.9533,0,11/10/2007
-155.7009,18.9173,0,11/10/2007
-160.5483,21.6499,0,23/01/2008
-156.0478,19.2901,0,21/01/2008
-128.353,24.2205,0,15/06/2009
-146.7665,24.3578,0,21/06/2009
-155.1751,19.2407,0,11/11/2007
-155.9801,18.1587,0,11/10/2007
