X,Y,Name,description,Debris Levels,Wind Speed,Wind Direction,Long,Lat,Debris Categories,Date,Boat,Field_1
-139.400000000159,33.7833333329825,Anne Bonny,,3,17,020,-139.4,33.783333,Frequent Medium & Occasional Large Debris,7/14/2012,Anne Bonny,Anne Bonny
-139.733333333213,32.5500000000554,Family Affair,,1,15,040,-139.733333,32.55,Occasional Small & Medium Debris,7/14/2012,Family Affair,Family Affair
-141.066666666327,33.9833333333942,Turicum,,3,17,050,-141.066667,33.983333,Frequent Medium & Occasional Large Debris,7/14/2012,Turicum,Turicum
-140.866666666854,30.4166666664888,Radiance,,1,18,050,-140.866667,30.416667,Occasional Small & Medium Debris,7/14/2012,Radiance,Radiance
-137.983333333107,32.1499999998532,Ballymack,,1,22,045,-137.983333,32.15,Occasional Small & Medium Debris,7/14/2012,Ballymack,Ballymack
-149.016666666268,26.8166666663547,Double Take,,1,22,053,-149.016667,26.816667,Occasional Small & Medium Debris,7/15/2012,Double Take,Double Take
-147.85,26.6999999997657,Terremoto,,0,25,060,-147.85,26.7,No Debris,7/15/2012,Terremoto,Terremoto
-145.1,30.1166666669545,Kinetic,,1,19,061,-145.1,30.116667,Occasional Small & Medium Debris,7/15/2012,Kinetic,Kinetic
-144.26666666688,31.9666666670476,Red Heather,,0,16,040,-144.266667,31.966667,No Debris,7/15/2012,Red Heather,Red Heather
-142.083333333534,29.9333333329815,Bravo Zulu,,0,17,060,-142.083333,29.933333,No Debris,7/15/2012,Bravo Zulu,Bravo Zulu
-142.349999999798,34.1333333336746,Red Sheilla,,0,18,030,-142.35,34.133333,No Debris,7/15/2012,Red Sheilla,Red Sheilla
-142.366666666945,32.5833333330865,Anne Bonny,,1,22,020,-142.366667,32.583333,Occasional Small & Medium Debris,7/15/2012,Anne Bonny,Anne Bonny
-141.650000000295,30.0499999996999,Family Affair,,2,21,060,-141.65,30.05,Frequent Small & Medium Debris,7/15/2012,Family Affair,Family Affair
-143.599999999873,31.9333333335554,Turicum,,2,15,025,-143.6,31.933333,Frequent Small & Medium Debris,7/15/2012,Turicum,Turicum
-144.05,29.5333333332946,Radiance,,1,17,070,-144.05,29.533333,Occasional Small & Medium Debris,7/15/2012,Radiance,Radiance
-137.4,35.0499999998374,Big Ben,,1,12,000,-137.4,35.05,Occasional Small & Medium Debris,7/15/2012,Big Ben,Big Ben
-139.133333332997,30.5666666663334,Ballymack,,2,15,040,-139.133333,30.566667,Frequent Small & Medium Debris,7/15/2012,Ballymack,Ballymack
-147.683333333154,28.7166666664651,Incantation,,2,15,060,-147.683333,28.716667,Frequent Small & Medium Debris,7/16/2012,Incantation,Incantation
-152.816666667037,23.983333333722,Double Take,,0,21,055,-152.816667,23.983333,No Debris,7/16/2012,Double Take,Double Take
-151.266666666404,24.9500000001235,Terremoto,,0,24,074,-151.266667,24.95,No Debris,7/16/2012,Terremoto,Terremoto
-148.049999999603,28.0000000003889,Kinetic,,0,22,053,-148.05,28,No Debris,7/16/2012,Kinetic,Kinetic
-146.866666666318,29.3666666664289,Red Heather,,0,19,080,-146.866667,29.366667,No Debris,7/16/2012,Red Heather,Red Heather
-146.050000000381,28.5499999997442,Bravo Zulu,,1,20,050,-146.05,28.55,Occasional Small & Medium Debris,7/16/2012,Bravo Zulu,Bravo Zulu
-144.749999999763,33.1166666667209,Red Sheilla,,0,20,030,-144.75,33.116667,No Debris,7/16/2012,Red Sheilla,Red Sheilla
-145.216666666398,31.4666666663645,Anne Bonny,,1,17,020,-145.216667,31.466667,Occasional Small & Medium Debris,7/16/2012,Anne Bonny,Anne Bonny
-143.816666666493,27.516666666549,Family Affair,,1,15,070,-143.816667,27.516667,Occasional Small & Medium Debris,7/16/2012,Family Affair,Family Affair
-146.283333333249,29.9833333337051,Turicum,,2,20,040,-146.283333,29.983333,Frequent Small & Medium Debris,7/16/2012,Turicum,Turicum
-146.966666666504,28.5166666668613,Radiance,,1,22,055,-146.966667,28.516667,Occasional Small & Medium Debris,7/16/2012,Radiance,Radiance
-141.083333333474,30.25,Ballymack,,1,15,050,-141.083333,30.25,Occasional Small & Medium Debris,7/16/2012,Ballymack,Ballymack
-150.049999999724,25.9333333329626,Incantation,,2,12,060,-150.05,25.933333,Frequent Small & Medium Debris,7/17/2012,Incantation,Incantation
-156.266666666707,21.0999999996076,Double Take,,0,23,054,-156.266667,21.1,No Debris,7/17/2012,Double Take,Double Take
-154.433333333562,22.9166666664659,Terremoto,,0,23,058,-154.433333,22.916667,No Debris,7/17/2012,Terremoto,Terremoto
-151.4,25.9666666665993,Kinetic,,0,14,070,-151.4,25.966667,No Debris,7/17/2012,Kinetic,Kinetic
-149.633333333631,26.8499999996131,Red Heather,,1,17,030,-149.633333,26.85,Occasional Small & Medium Debris,7/17/2012,Red Heather,Red Heather
-148.683333333215,26.3666666667741,Bravo Zulu,,0,20,050,-148.683333,26.366667,No Debris,7/17/2012,Bravo Zulu,Bravo Zulu
-146.083333333776,32.0833333336819,Red Sheilla,,1,22,034,-146.083333,32.083333,Occasional Small & Medium Debris,7/17/2012,Red Sheilla,Red Sheilla
-147.316666666705,28.8833333332149,Anne Bonny,,1,18,050,-147.316667,28.883333,Occasional Small & Medium Debris,7/17/2012,Anne Bonny,Anne Bonny
-147.399999999744,27.3999999998001,Family Affair,,0,15,050,-147.4,27.4,No Debris,7/17/2012,Family Affair,Family Affair
-148.883333333586,27.6333333337114,Turicum,,1,20,030,-148.883333,27.633333,Occasional Small & Medium Debris,7/17/2012,Turicum,Turicum
-149.799999999709,26.8166666663547,Radiance,,1,18,060,-149.8,26.816667,Occasional Small & Medium Debris,7/17/2012,Radiance,Radiance
-141.650000000295,33.0166666663309,Big Ben,,0,12,020,-141.65,33.016667,No Debris,7/17/2012,Big Ben,Big Ben
-144.516666666895,29.0833333330724,Ballymack,,1,15,050,-144.516667,29.083333,Occasional Small & Medium Debris,7/17/2012,Ballymack,Ballymack
-152.966666666867,23.3833333334176,Incantation,,0,16,060,-152.966667,23.383333,No Debris,7/18/2012,Incantation,Incantation
-154.183333333547,23.4499999997105,Kinetic,,0,19,067,-154.183333,23.45,No Debris,7/18/2012,Kinetic,Kinetic
-152.033333333597,24.4499999996208,Red Heather,,0,15,050,-152.033333,24.45,No Debris,7/18/2012,Red Heather,Red Heather
-150.733333332979,24.0166666666376,Bravo Zulu,,0,13,040,-150.733333,24.016667,No Debris,7/18/2012,Bravo Zulu,Bravo Zulu
-149.049999999664,30.3999999997106,Red Sheilla,,0,22,030,-149.05,30.4,No Debris,7/18/2012,Red Sheilla,Red Sheilla
-150.083333333119,27.7166666669297,Anne Bonny,,1,17,020,-150.083333,27.716667,Occasional Small & Medium Debris,7/18/2012,Anne Bonny,Anne Bonny
-149.43333333326,25.7333333335042,Family Affair,,0,15,080,-149.433333,25.733333,No Debris,7/18/2012,Family Affair,Family Affair
-150.9,25.0166666666559,Turicum,,1,15,030,-150.9,25.016667,Occasional Small & Medium Debris,7/18/2012,Turicum,Turicum
